description,component
"Hardisk gak kebaca sama sekali waktu booting, muncul error no bootable device",Hard Disk
"Komputer tiba-tiba mati, terus ada bau terbakar dari power supply",Power Supply
"USB port belakang komputer gak bisa dipake, semua device gak kedetect",Motherboard
"Layar monitor jadi kedip-kedip terus muncul garis horizontal",Graphic Card
"Pas buka banyak tab di browser, komputer langsung nge-lag parah",RAM
"PC tiba-tiba nge-freeze pas dipake nonton film, padahal sebelumnya lancar banget",RAM
"Komputer mati mendadak waktu buka aplikasi berat, terus gak bisa nyala",Power Supply
"Layar sering kedip-kedip waktu dipake browsing, meski udah restart tetap gak berubah",Graphic Card
"Baru beberapa menit dipake, komputer udah panas banget dan kipas CPU bunyi kenceng",Processor
"Komputer tiba-tiba mati sendiri waktu baru dinyalain, terus susah banget buat nyalain lagi",Power Supply
"PC nge-freeze pas transfer file besar dari hard disk eksternal, terus tiba-tiba mati",Hard Disk
"Setelah di-upgrade RAM, komputer tidak mau booting",RAM
"Komputer sering freeze ketika membuka aplikasi editing",RAM
"Suara aneh keluar dari hard disk saat diakses",Hard Disk
"Komputer mati mendadak saat bermain game online",Power Supply
"Monitor tidak merespons saat komputer dihidupkan",Graphic Card
"PC sering restart sendiri tanpa alasan jelas",Motherboard
"Komputer tidak mendeteksi RAM setelah diinstal ulang",RAM
"Komputer berjalan lambat ketika terhubung ke internet",Processor
"Ada suara klik yang mencurigakan dari hard disk",Hard Disk
"Komputer tidak bisa booting setelah memasang GPU baru",Graphic Card
"Suara beep pendek saat booting, tidak ada tampilan",Motherboard
"Monitor hitam meski semua komponen lainnya menyala",Graphic Card
"Komputer mengeluarkan suara aneh dari power supply",Power Supply
"Komputer tiba-tiba hang saat melakukan rendering",Processor
"Setelah restart, BIOS tidak mendeteksi hard disk",Hard Disk
"Komputer menjadi sangat lambat setelah menginstal aplikasi baru",RAM
"Port USB depan tidak berfungsi, sudah coba ganti kabel",Motherboard
"Komputer tidak merespons saat menyalakan aplikasi berat",Processor
"Monitor berkedip dan tampilan sering hilang",Graphic Card
"Komputer mati total saat terhubung ke sumber listrik",Power Supply
"Setelah mengganti hard disk, sistem tidak mau boot",Hard Disk
"Komputer sering freeze saat bermain game berat",RAM
"Monitor hanya menampilkan warna hitam setelah dinyalakan",Graphic Card
"Komputer reboot sendiri saat mendownload file besar",Power Supply
"Setiap kali menghidupkan, suara beep panjang muncul",Motherboard
"Hard disk tidak terdeteksi di pengaturan BIOS",Hard Disk
"Setelah upgrade CPU, komputer sering hang",Processor
"USB port tidak berfungsi pada semua perangkat yang dicoba",Motherboard
"PC overheat saat digunakan untuk gaming, menyebabkan shutdown",Processor
"Komputer berjalan lambat dan sering crash ketika multitasking",RAM
"Monitor menampilkan garis-garis dan kadang blank",Graphic Card
"Setiap kali membuka aplikasi berat, PC tiba-tiba mati",Power Supply
"Setelah mengganti RAM, komputer tetap tidak mau menyala",RAM
"Komputer mengeluarkan suara berisik saat booting",Motherboard
"Suara kipas sangat keras dan PC sering mati mendadak",Power Supply
"Hard disk bergetar lebih dari biasanya saat diakses",Hard Disk
"Monitor tidak mengeluarkan suara, meskipun komputer menyala",Graphic Card
"Komputer terkadang tidak merespons saat dinyalakan",Motherboard
"Setiap kali menjalankan program, komputer sangat lambat",Processor
"Komputer mengeluarkan bau terbakar saat dinyalakan",Power Supply
"Setelah upgrade GPU, komputer tidak bisa booting",Graphic Card
"USB mouse tidak terdeteksi di komputer",Motherboard
"Komputer freeze saat melakukan streaming video",RAM
"Monitor mengeluarkan suara dengung saat menyala",Graphic Card
"PC reboot sendiri saat digunakan untuk gaming",Power Supply
"Hard disk sering menghasilkan suara aneh saat diakses",Hard Disk
"Setiap kali dinyalakan, BIOS menunjukkan kesalahan",Motherboard
"Komputer mati mendadak saat membuka aplikasi besar",Power Supply
"Monitor tidak memberikan tampilan apapun meski menyala",Graphic Card
"PC sangat lambat saat melakukan transfer data besar",RAM
"Komputer tidak merespons setelah dihidupkan, layar tetap hitam",Motherboard
"Suara bip berulang saat dinyalakan, tidak ada tampilan",Motherboard
"Komputer overheat dan mati saat menjalankan aplikasi berat",Processor
"Komputer tidak mau menyala setelah di-upgrade motherboard",Motherboard
"Monitor berkedip saat dipakai browsing",Graphic Card
"PC mengalami lag parah saat bermain game ringan",RAM
"Setelah mengganti power supply, komputer tetap mati mendadak",Power Supply
"Hard disk tidak dapat dibaca di sistem operasi setelah restart",Hard Disk
"Komputer sering restart saat membuka beberapa tab",RAM
"Setiap kali menghidupkan, tampilan monitor kosong",Graphic Card
"Suara klik dari hard disk semakin sering terjadi",Hard Disk
"Komputer hang saat melakukan update sistem",Processor
"Monitor menampilkan gambar buram saat dinyalakan",Graphic Card
"Setelah upgrade CPU, komputer tidak booting",Motherboard
"PC sering mati mendadak saat streaming video",Power Supply
"Komputer freeze ketika membuka aplikasi grafis",RAM
"Monitor tidak menampilkan gambar setelah dinyalakan",Graphic Card
"Komputer tidak mendeteksi jaringan setelah restart",Motherboard
"Suara bising dari kipas yang berputar sangat cepat",Power Supply
"Komputer berjalan lambat saat menggunakan aplikasi berat",Processor
"Monitor menampilkan garis-garis saat bermain game",Graphic Card
"Hard disk berfungsi tidak normal setelah terjatuh",Hard Disk
"Komputer restart sendiri saat terhubung ke internet",Motherboard
"Setiap kali dinyalakan, muncul pesan kesalahan sistem",Power Supply
"Komputer tidak mengenali perangkat USB yang terhubung",Motherboard
"PC hang saat mendownload file besar dari internet",RAM
"Monitor kadang blank meski komputer menyala",Graphic Card
"Suara berisik dari power supply saat dihidupkan",Power Supply
"Komputer sangat lambat setelah menginstal aplikasi baru",RAM
"Hard disk tidak terdeteksi di file explorer",Hard Disk
"Setelah mengganti RAM, komputer masih tidak menyala",RAM
"PC tiba-tiba mati saat melakukan render video",Power Supply
"Monitor sering menampilkan gambar kabur saat browsing",Graphic Card
"Komputer tidak bisa booting setelah install ulang OS",Hard Disk
"Suara bip pendek saat booting, sistem tidak merespons",Motherboard
"Komputer menjadi lambat setelah di-upgrade",Processor
"Setiap kali menjalankan aplikasi berat, komputer sering freeze",RAM
"Monitor tidak merespons saat dihidupkan",Graphic Card
"Komputer mati total saat menggunakan aplikasi desain",Processor
"Hard disk mengeluarkan suara klik-klik saat diakses",Hard Disk
"Komputer tidak mau boot setelah mengganti GPU",Graphic Card
"USB port belakang tidak berfungsi pada semua perangkat",Motherboard
"Komputer hang saat menjalankan aplikasi video editing",RAM
"Monitor tidak menampilkan gambar saat dinyalakan",Graphic Card
"PC sering restart mendadak saat gaming",Power Supply
"Komputer terlalu panas setelah dipakai beberapa jam",Processor
"Hard disk sering menunjukkan kesalahan saat diakses",Hard Disk
"Monitor hitam meski semua komponen menyala",Graphic Card
"Setiap kali booting, komputer mengeluarkan suara aneh",Motherboard
"Komputer restart tiba-tiba setelah update BIOS",Motherboard
"PC tidak bisa mendeteksi keyboard dan mouse",Motherboard
"Komputer hang saat membuka file Excel berukuran besar",RAM
"Suara kipas keras tetapi komputer tidak menyala",Power Supply
"Monitor menampilkan layar biru setelah beberapa menit digunakan",Graphic Card
"Komputer mati sendiri saat digunakan untuk presentasi",Power Supply
"PC tidak merespons setelah instalasi driver baru",Motherboard
"Komputer menjadi lambat setelah beberapa jam pemakaian",Processor
"Layar monitor tiba-tiba blank saat streaming video",Graphic Card
"Komputer tidak bisa menyala setelah melakukan update Windows",Motherboard
"Komputer mengeluarkan suara bip panjang dan tidak bisa masuk ke BIOS",Motherboard
"Hard disk sering berhenti bekerja dan komputer hang",Hard Disk
"PC lambat setiap kali membuka aplikasi desain grafis",RAM
"Suara klik dari hard disk meningkat saat dipakai transfer file",Hard Disk
"Komputer restart setelah menginstal update driver GPU",Graphic Card
"Monitor tidak merespons setelah mengganti kabel",Graphic Card
"Komputer sering overheat saat menjalankan software 3D",Processor
"Komputer tidak mengenali hard disk eksternal",Hard Disk
"Setelah mengganti motherboard, komputer tidak mau booting",Motherboard
"Layar monitor sering blank saat digunakan bekerja",Graphic Card
"Komputer terlalu lambat saat melakukan rendering video",Processor
"Suara kipas sangat keras setelah komputer dinyalakan",Power Supply
"Setelah upgrade power supply, PC tetap mati mendadak",Power Supply
"Komputer mati tiba-tiba saat browsing internet",Power Supply
"Komputer freeze ketika menjalankan program simulasi",RAM
"Monitor menampilkan artefak setelah komputer menyala",Graphic Card
"Komputer hang saat membuka banyak tab di browser",RAM
"Komputer restart setelah menyalakan aplikasi editing video",Power Supply
"Hard disk tidak merespons setelah terhubung ke komputer",Hard Disk
"Komputer tidak bisa booting setelah memasang RAM baru",RAM
"Komputer mengeluarkan suara bip berulang kali saat dinyalakan",Motherboard
"Monitor tidak menampilkan gambar meskipun komputer menyala",Graphic Card
"Komputer terlalu lambat saat digunakan untuk multitasking",Processor
"Setelah menginstal Windows, komputer tidak bisa mendeteksi hard disk",Hard Disk
"Monitor menampilkan layar biru setelah beberapa jam digunakan",Graphic Card
"Komputer mati mendadak saat browsing di internet",Power Supply
"Suara kipas sangat keras dan komputer sering restart",Power Supply
"Komputer tidak menyala setelah memasang power supply baru",Power Supply
"Komputer hang saat membuka file CAD berukuran besar",RAM
"Komputer restart setelah menjalankan aplikasi grafis",Power Supply
"Layar monitor menampilkan garis-garis setelah dihidupkan",Graphic Card
"Komputer tidak merespons setelah menjalankan program simulasi",RAM
"Monitor berkedip-kedip saat digunakan untuk bermain game",Graphic Card
"Komputer restart sendiri setelah menginstal driver motherboard",Motherboard
"Komputer hang saat melakukan pembaruan sistem",Processor
"Monitor menampilkan garis-garis saat menghidupkan komputer",Graphic Card
"PC tiba-tiba restart saat melakukan multitasking",RAM
"Komputer tidak bisa terhubung ke jaringan setelah di-reset",Motherboard
"Ada suara berdengung dari power supply saat dinyalakan",Power Supply
"Komputer berjalan lambat saat menjalankan aplikasi berat",RAM
"Monitor tidak menampilkan gambar meskipun semua kabel terhubung",Graphic Card
"Komputer tidak bisa booting setelah mengganti RAM",RAM
"USB port depan tidak berfungsi setelah diinstal ulang",Motherboard
"Komputer tidak merespons setelah dinyalakan, layar tetap hitam",Motherboard
"Setelah ganti CPU, komputer sering hang",Processor
"Komputer mati mendadak saat membuka aplikasi baru",Power Supply
"Monitor berkedip setiap kali komputer dihidupkan",Graphic Card
"Suara bising dari hard disk saat diakses",Hard Disk
"Komputer tidak mengenali hard disk eksternal yang terhubung",Hard Disk
"Komputer sering freeze saat bermain game berat",RAM
"Monitor tampak buram saat digunakan untuk browsing",Graphic Card
"Setiap kali menyalakan komputer, ada suara beep pendek",Motherboard
"Komputer tidak mau menyala setelah dipindahkan",Power Supply
"Hard disk tidak terdeteksi di BIOS setelah restart",Hard Disk
"Komputer lambat saat mengunduh file besar",Processor
"Monitor tidak merespons saat bermain game",Graphic Card
"Komputer sering reboot sendiri saat streaming video",Power Supply
"Setelah mengganti GPU, tampilan komputer menjadi buram",Graphic Card
"Suara bip panjang muncul saat booting, layar tetap hitam",Motherboard
"Komputer tidak bisa memuat sistem operasi setelah update",Hard Disk
"Monitor tiba-tiba gelap saat digunakan untuk gaming",Graphic Card
"PC hang saat memindahkan file ke hard disk eksternal",Hard Disk
"Komputer mengeluarkan suara klik saat dinyalakan",Hard Disk
"Komputer tidak bisa terhubung ke Wi-Fi setelah di-reset",Motherboard
"Monitor berkedip saat menjalankan aplikasi grafis",Graphic Card
"Komputer tidak mengenali perangkat USB setelah restart",Motherboard
"PC sering mati mendadak saat digunakan untuk rendering video",Processor
"Setiap kali dinyalakan, komputer mengeluarkan suara aneh",Motherboard
"Hard disk mengeluarkan suara berisik saat diakses",Hard Disk
"Komputer mati mendadak saat bermain game online",Power Supply
"Monitor tidak menampilkan gambar setelah ganti GPU",Graphic Card
"Komputer hang saat menginstal aplikasi baru",RAM
"Setiap kali menjalankan program, komputer sangat lambat",Processor
"Monitor hitam meski semua komponen lainnya menyala",Graphic Card
"PC terlalu panas setelah dipakai beberapa jam",Processor
"Komputer tidak bisa booting setelah mengganti motherboard",Motherboard
"Suara bip berulang saat dinyalakan, tidak ada tampilan",Motherboard
"Komputer sering restart sendiri saat menggunakan internet",RAM
"Monitor tidak menampilkan gambar meskipun komputer dihidupkan",Graphic Card
"Komputer berjalan lambat saat membuka aplikasi berat",RAM
"USB port belakang tidak berfungsi pada semua perangkat yang dicoba",Motherboard
"Komputer hang saat bermain game berat",RAM
"Monitor menampilkan garis-garis aneh saat dihidupkan",Graphic Card
"Komputer tiba-tiba mati saat digunakan untuk streaming",Power Supply
"Setelah mengganti hard disk, sistem tidak mau boot",Hard Disk
"Komputer freeze saat mengunduh file besar",RAM
"Monitor tidak memberikan tampilan apapun meski menyala",Graphic Card
"PC sangat lambat saat memindahkan data dari USB",RAM
"Komputer tidak mendeteksi RAM baru setelah upgrade",RAM
"Komputer mengeluarkan suara klik saat booting",Hard Disk
"Setiap kali dinyalakan, komputer mengeluarkan suara beep",Motherboard
"Komputer hang saat menjalankan program desain",RAM
"Monitor menunjukkan warna yang salah setelah dinyalakan",Graphic Card
"Komputer reboot sendiri saat menginstal aplikasi baru",Power Supply
"Monitor tidak berfungsi setelah dihidupkan",Graphic Card
"Komputer tidak bisa terhubung ke internet setelah restart",Motherboard
"PC mati mendadak saat bermain game online",Power Supply
"Setiap kali booting, komputer menunjukkan kesalahan BIOS",Motherboard
"Komputer hang saat membuka beberapa tab di browser",RAM
"Monitor tidak merespons saat dipakai untuk browsing",Graphic Card
"Komputer mati total saat memindahkan file besar",Power Supply
"Setelah upgrade RAM, komputer tidak mau booting",RAM
"Komputer tidak mendeteksi hard disk eksternal",Hard Disk
"Monitor sering berkedip saat digunakan untuk menonton film",Graphic Card
"PC hang saat mengubah pengaturan di BIOS",Motherboard
"Komputer tidak mau menyala meskipun sudah dicoba beberapa kali",Power Supply
"Hard disk tidak terdeteksi setelah restart",Hard Disk
"Monitor hitam meski semua kabel terhubung",Graphic Card
"Komputer sering restart saat memutar video",RAM
"Komputer freeze saat melakukan streaming video",RAM
"Monitor tidak menampilkan gambar setelah menghidupkan komputer",Graphic Card
"PC tidak mengenali GPU baru yang dipasang",Graphic Card
"Komputer mati mendadak saat melakukan multitasking",Power Supply
"Monitor berkedip setiap kali memutar video",Graphic Card
"Komputer tidak dapat memuat sistem operasi setelah penginstalan",Hard Disk
"PC hang saat membuka aplikasi grafis",RAM
"Setiap kali dinyalakan, ada suara beep panjang",Motherboard
"Komputer tidak terhubung ke jaringan setelah di-upgrade",Motherboard
"Monitor tidak memberikan tampilan setelah dinyalakan",Graphic Card
"Komputer berjalan lambat saat membuka banyak tab di browser",RAM
"PC mati mendadak saat digunakan untuk bermain game",Power Supply
"Hard disk mengeluarkan suara aneh saat diakses",Hard Disk
"Monitor menunjukkan garis-garis saat bermain game",Graphic Card
"Komputer tidak mengenali hard disk setelah upgrade",Hard Disk
"Komputer sering freeze saat menonton film",RAM
"Monitor tidak memberikan tampilan apapun meski komputer menyala",Graphic Card
"Komputer hang saat mencoba memutar video besar",RAM
"PC reboot sendiri saat membuka aplikasi baru",Power Supply
"Setiap kali booting, tampilan monitor kosong",Graphic Card
"Komputer lambat saat mengunduh file besar",Processor
"Monitor tidak menunjukkan gambar setelah ganti GPU",Graphic Card
"Komputer tidak bisa booting setelah mengganti hard disk",Hard Disk
"Komputer sering restart saat menggunakan aplikasi berat",RAM
"Monitor tidak berfungsi saat komputer dihidupkan",Graphic Card
"Komputer hang saat melakukan streaming video",RAM
"Setiap kali dinyalakan, suara beep panjang muncul",Motherboard
"Komputer mati mendadak saat menggunakan aplikasi desain",Processor
"Monitor hitam meski semua komponen menyala",Graphic Card
"Komputer tidak terhubung ke Wi-Fi setelah di-reset",Motherboard
"Komputer mengeluarkan suara berisik saat booting",Motherboard
"Hard disk tidak terdeteksi di sistem operasi setelah restart",Hard Disk
"PC sering mati mendadak saat bermain game online",Power Supply
"Monitor tidak menampilkan gambar saat dipakai untuk browsing",Graphic Card
"Komputer tidak bisa booting setelah install ulang OS",Hard Disk
"Setelah upgrade CPU, komputer tidak mau menyala",Motherboard
"Komputer tidak mendeteksi perangkat USB setelah restart",Motherboard
"Komputer sering freeze saat menggunakan aplikasi berat",RAM
"Monitor menunjukkan gambar buram saat digunakan",Graphic Card
"Komputer mati mendadak saat memindahkan file ke hard disk eksternal",Power Supply
"Komputer mengeluarkan suara klik-klik dari hard disk",Hard Disk
"PC sangat lambat saat melakukan transfer data",RAM
"Monitor tidak memberikan tampilan meski komputer menyala",Graphic Card
"Komputer tidak bisa booting setelah mengganti GPU",Graphic Card
"Monitor hitam meski semua komponen menyala normal",Graphic Card
"Komputer hang saat membuka aplikasi berat",RAM
"Komputer sering restart saat streaming video",Power Supply
"Komputer tidak mengenali hard disk setelah di-upgrade",Hard Disk
"Komputer tidak bisa terhubung ke jaringan setelah restart",Motherboard
"Monitor tidak memberikan tampilan meski komputer sudah dihidupkan",Graphic Card
"Komputer hang saat mengunduh file besar",RAM
"Setiap kali booting, ada suara beep pendek",Motherboard
"Komputer tidak terhubung ke Wi-Fi setelah upgrade",Motherboard
"Monitor menampilkan gambar buram saat browsing",Graphic Card
"Komputer sering reboot sendiri saat multitasking",Power Supply
"Monitor tidak menampilkan gambar setelah dinyalakan",Graphic Card
"Komputer tidak bisa booting setelah upgrade CPU",Motherboard
"Setiap kali menjalankan aplikasi berat, komputer sering freeze",RAM
"Komputer lambat saat melakukan streaming video",Processor
"Monitor menunjukkan garis-garis saat bermain game",Graphic Card
"Komputer hang saat mengubah pengaturan di BIOS",Motherboard
"Komputer tidak mengenali USB drive setelah dihubungkan",Motherboard
"Monitor tidak memberikan tampilan saat komputer dinyalakan",Graphic Card
"PC sering mati mendadak saat browsing",Power Supply
"Hard disk mengeluarkan suara aneh saat diakses",Hard Disk
"Komputer tidak bisa booting setelah ganti motherboard",Motherboard
"Komputer tidak terhubung ke jaringan setelah di-upgrade",Motherboard
"Monitor hitam meski semua komponen menyala",Graphic Card
"Komputer sering restart saat menggunakan aplikasi grafis",RAM
"Komputer tidak bisa terhubung ke Wi-Fi setelah restart",Motherboard
"Setiap kali dinyalakan, ada suara beep berulang",Motherboard
"Komputer tidak bisa booting setelah mengganti hard disk",Hard Disk
"Monitor menunjukkan garis-garis saat menonton film",Graphic Card
"Komputer freeze saat mengunduh file besar",RAM
"PC tidak mengenali GPU baru setelah diinstal",Graphic Card
"Komputer mati mendadak saat digunakan untuk browsing",Power Supply
"Monitor tidak menampilkan gambar saat digunakan untuk menonton video",Graphic Card
"Komputer hang saat menjalankan aplikasi editing",RAM
"Setelah mengganti motherboard, komputer tidak mau menyala",Motherboard
"Komputer tidak terhubung ke jaringan setelah di-reset",Motherboard
"Monitor berkedip setiap kali komputer dinyalakan",Graphic Card
"Komputer hang saat menggunakan aplikasi desain",RAM
"Monitor menampilkan garis-garis aneh saat dihidupkan",Graphic Card
"Komputer mati mendadak saat memutar video",Power Supply
"PC tidak mengenali hard disk eksternal yang terhubung",Hard Disk
"Komputer sering reboot sendiri saat streaming video",Power Supply
"Komputer hang saat menginstal aplikasi baru",RAM
"Monitor tidak memberikan tampilan meskipun komputer menyala",Graphic Card
"Komputer sering restart sendiri saat menggunakan internet",RAM
"Monitor menunjukkan warna yang salah saat digunakan",Graphic Card
"PC sering mati mendadak saat bermain game",Power Supply
"Komputer tidak bisa booting setelah install ulang sistem operasi",Hard Disk
"Monitor hitam meski semua komponen menyala",Graphic Card
"Komputer hang saat mengubah pengaturan di BIOS",Motherboard
"Komputer tidak mengenali RAM baru setelah upgrade",RAM
"Komputer tidak bisa terhubung ke internet setelah di-upgrade",Motherboard
"Monitor berkedip saat bermain game",Graphic Card
"Komputer tidak bisa booting setelah upgrade hard disk",Hard Disk
"Monitor tidak menampilkan gambar saat dinyalakan",Graphic Card
"PC sangat lambat saat membuka aplikasi desain grafis",RAM
"Setiap kali dinyalakan, ada suara beep berulang",Motherboard
"Komputer sering mati mendadak saat streaming",Power Supply
"Komputer tidak terhubung ke Wi-Fi setelah restart",Motherboard
"Komputer tidak bisa booting setelah mengganti GPU",Graphic Card
"Monitor menunjukkan garis-garis saat digunakan untuk menonton video",Graphic Card
"Komputer sering freeze saat menggunakan aplikasi berat",RAM
"PC tidak mengenali hard disk baru setelah diinstal",Hard Disk
"Monitor tidak memberikan tampilan setelah dihidupkan",Graphic Card
"Komputer mati mendadak saat digunakan untuk multitasking",Power Supply
"Monitor hitam meski semua komponen menyala normal",Graphic Card
"Komputer hang saat mengunduh file besar",RAM
"Komputer tidak bisa booting setelah mengganti motherboard",Motherboard
"Monitor menampilkan warna yang salah saat dipakai untuk browsing",Graphic Card
"PC mati mendadak saat bermain game online",Power Supply
"Hard disk mengeluarkan suara berisik saat diakses",Hard Disk
"Komputer sering restart saat menonton film",RAM
"Monitor tidak menampilkan gambar saat digunakan untuk browsing",Graphic Card
"Komputer hang saat membuka banyak tab di browser",RAM
"Setiap kali booting, ada suara beep panjang",Motherboard
"Komputer tidak terhubung ke jaringan setelah di-upgrade",Motherboard
